,landing_page_id,origin,closed,contact_year,contact_month,contact_day
7999,0.7178423236514523,0.0,1,1.0,0.0,0.3333333333333333
6098,0.8174273858921162,0.3333333333333333,1,1.0,0.36363636363636365,0.36666666666666664
1938,0.47717842323651455,0.0,1,1.0,0.0,0.7333333333333333
6248,0.4605809128630705,0.8888888888888888,1,1.0,0.18181818181818182,0.9333333333333333
6253,0.91701244813278,1.0,1,1.0,0.18181818181818182,0.43333333333333335
6261,0.7178423236514523,1.0,1,1.0,0.36363636363636365,0.3
6271,0.27385892116182575,0.6666666666666666,1,0.0,0.9090909090909091,0.6666666666666666
1911,0.14522821576763487,0.3333333333333333,1,1.0,0.2727272727272727,0.1
1907,0.7178423236514523,0.3333333333333333,1,1.0,0.0,0.9666666666666667
1905,0.27385892116182575,0.6666666666666666,1,1.0,0.2727272727272727,0.7333333333333333
6282,0.34439834024896265,0.8888888888888888,1,1.0,0.2727272727272727,0.6333333333333333
6284,0.7178423236514523,1.0,1,1.0,0.0,0.26666666666666666
6289,0.8589211618257261,0.3333333333333333,1,1.0,0.18181818181818182,0.4666666666666667
6291,0.14522821576763487,0.3333333333333333,1,1.0,0.36363636363636365,0.3333333333333333
1889,0.36929460580912865,0.6666666666666666,1,1.0,0.18181818181818182,0.7
6293,0.6348547717842323,0.6666666666666666,1,1.0,0.18181818181818182,0.43333333333333335
1884,0.7178423236514523,1.0,1,0.0,0.5454545454545454,0.43333333333333335
6300,0.7178423236514523,1.0,1,1.0,0.18181818181818182,0.6666666666666666
1878,0.14522821576763487,0.3333333333333333,1,1.0,0.0,0.8666666666666667
6321,0.14522821576763487,0.6666666666666666,1,1.0,0.2727272727272727,0.5
6329,0.14522821576763487,0.0,1,1.0,0.2727272727272727,0.16666666666666666
1939,0.7178423236514523,1.0,1,1.0,0.2727272727272727,0.1
6246,0.7178423236514523,1.0,1,1.0,0.36363636363636365,0.9
1943,0.5311203319502075,1.0,1,0.0,0.6363636363636364,0.6
2054,0.7178423236514523,1.0,1,1.0,0.2727272727272727,0.8666666666666667
6112,0.5850622406639004,0.2222222222222222,1,1.0,0.2727272727272727,0.26666666666666666
6124,0.1825726141078838,0.0,1,1.0,0.2727272727272727,0.26666666666666666
6125,0.14522821576763487,0.7777777777777778,1,1.0,0.09090909090909091,0.6666666666666666
6130,0.8174273858921162,0.3333333333333333,1,1.0,0.36363636363636365,0.5666666666666667
6131,0.14522821576763487,0.3333333333333333,1,1.0,0.18181818181818182,0.6666666666666666
2064,0.14522821576763487,0.3333333333333333,1,1.0,0.36363636363636365,0.3333333333333333
6137,0.8174273858921162,0.3333333333333333,1,1.0,0.18181818181818182,0.8666666666666667
2055,0.14522821576763487,0.5555555555555556,1,1.0,0.0,0.26666666666666666
2052,0.18672199170124482,1.0,1,1.0,0.2727272727272727,0.03333333333333333
1953,0.5477178423236515,0.8888888888888888,1,1.0,0.0,0.6333333333333333
6146,0.7178423236514523,1.0,1,1.0,0.09090909090909091,0.43333333333333335
2042,0.14937759336099585,0.6666666666666666,1,1.0,0.18181818181818182,0.26666666666666666
6160,0.27385892116182575,0.6666666666666666,1,1.0,0.18181818181818182,0.23333333333333334
2016,0.7800829875518672,0.6666666666666666,1,1.0,0.18181818181818182,0.06666666666666667
2001,0.14522821576763487,0.0,1,1.0,0.0,0.7666666666666667
1988,0.016597510373443983,0.3333333333333333,1,1.0,0.36363636363636365,0.26666666666666666
1975,0.9128630705394191,1.0,1,1.0,0.09090909090909091,0.9
1964,0.14522821576763487,0.3333333333333333,1,1.0,0.36363636363636365,0.7
1846,0.7178423236514523,1.0,1,1.0,0.36363636363636365,0.5333333333333333
6333,0.8174273858921162,0.3333333333333333,1,1.0,0.0,0.9666666666666667
6334,0.14522821576763487,0.3333333333333333,1,1.0,0.18181818181818182,0.7
1634,0.27385892116182575,0.6666666666666666,1,1.0,0.0,0.06666666666666667
6488,0.34439834024896265,0.8888888888888888,1,1.0,0.2727272727272727,0.7666666666666667
6492,0.07468879668049792,1.0,1,1.0,0.18181818181818182,0.9
1670,0.8174273858921162,0.3333333333333333,1,1.0,0.0,0.16666666666666666
6501,0.13278008298755187,0.5555555555555556,1,1.0,0.0,0.9666666666666667
1661,0.7178423236514523,1.0,1,1.0,0.2727272727272727,0.6
6510,0.34439834024896265,0.3333333333333333,1,1.0,0.2727272727272727,0.4
1646,0.7219917012448133,0.6666666666666666,1,1.0,0.2727272727272727,0.5
1643,0.7634854771784232,0.8888888888888888,1,1.0,0.18181818181818182,0.6
6530,0.14522821576763487,0.3333333333333333,1,1.0,0.2727272727272727,0.9
1683,0.7178423236514523,1.0,1,1.0,0.09090909090909091,0.7
6531,0.7178423236514523,1.0,1,1.0,0.09090909090909091,0.5
6533,0.6224066390041494,0.7777777777777778,1,1.0,0.0,0.9333333333333333
1613,0.34439834024896265,0.8888888888888888,1,1.0,0.2727272727272727,0.7333333333333333
6556,0.22821576763485477,0.3333333333333333,1,1.0,0.2727272727272727,0.03333333333333333
1602,0.14522821576763487,0.6666666666666666,1,1.0,0.18181818181818182,0.9
1597,0.14522821576763487,0.3333333333333333,1,1.0,0.36363636363636365,0.3
6565,0.1908713692946058,0.3333333333333333,1,1.0,0.0,0.7666666666666667
6568,0.8174273858921162,0.3333333333333333,1,1.0,0.18181818181818182,0.9
1680,0.7178423236514523,1.0,1,1.0,0.2727272727272727,0.7333333333333333
1694,0.47717842323651455,0.7777777777777778,1,1.0,0.18181818181818182,0.8666666666666667
1838,0.6514522821576764,0.3333333333333333,1,1.0,0.36363636363636365,1.0
1784,0.14522821576763487,0.0,1,1.0,0.09090909090909091,0.7333333333333333
6340,0.7178423236514523,0.6666666666666666,1,1.0,0.18181818181818182,0.5
1826,0.7178423236514523,1.0,1,1.0,0.18181818181818182,0.9333333333333333
1824,0.7178423236514523,0.3333333333333333,1,1.0,0.0,0.5666666666666667
6357,0.2946058091286307,0.3333333333333333,1,1.0,0.18181818181818182,0.23333333333333334
6358,0.23651452282157676,1.0,1,1.0,0.18181818181818182,0.16666666666666666
6363,0.11203319502074689,0.6666666666666666,1,1.0,0.36363636363636365,0.36666666666666664
1802,0.7842323651452282,0.7777777777777778,1,1.0,0.18181818181818182,0.0
6373,0.27385892116182575,0.6666666666666666,1,1.0,0.18181818181818182,0.43333333333333335
1779,0.1908713692946058,0.3333333333333333,1,0.0,0.6363636363636364,0.5666666666666667
6459,0.1078838174273859,0.6666666666666666,1,1.0,0.2727272727272727,0.3
1772,0.4149377593360996,0.4444444444444444,1,1.0,0.2727272727272727,0.8333333333333334
6428,0.4190871369294606,0.6666666666666666,1,1.0,0.09090909090909091,0.9
1735,0.5477178423236515,0.8888888888888888,1,0.0,0.9090909090909091,0.8666666666666667
6439,0.7178423236514523,0.3333333333333333,1,1.0,0.18181818181818182,0.03333333333333333
1728,0.7178423236514523,0.3333333333333333,1,1.0,0.0,0.6
6453,0.14522821576763487,0.3333333333333333,1,1.0,0.0,0.3333333333333333
6456,0.22406639004149378,0.6666666666666666,1,1.0,0.36363636363636365,0.0
6458,0.14937759336099585,0.6666666666666666,1,0.0,1.0,0.2
2091,0.7178423236514523,1.0,1,1.0,0.0,0.26666666666666666
2108,0.14522821576763487,0.0,1,1.0,0.2727272727272727,0.1
1581,0.14522821576763487,0.3333333333333333,1,1.0,0.18181818181818182,0.4666666666666667
2113,0.14522821576763487,0.3333333333333333,1,1.0,0.0,0.03333333333333333
2409,0.45643153526970953,0.4444444444444444,1,1.0,0.0,0.5666666666666667
2402,0.7178423236514523,1.0,1,1.0,0.18181818181818182,0.8666666666666667
2401,0.27385892116182575,0.6666666666666666,1,1.0,0.09090909090909091,0.26666666666666666
2388,0.7178423236514523,1.0,1,1.0,0.0,1.0
2386,0.14522821576763487,0.3333333333333333,1,1.0,0.36363636363636365,0.7666666666666667
2380,0.7178423236514523,1.0,1,1.0,0.0,0.9666666666666667
2370,0.14522821576763487,0.6666666666666666,1,1.0,0.36363636363636365,0.7333333333333333
5860,0.27385892116182575,0.6666666666666666,1,1.0,0.2727272727272727,0.06666666666666667
2365,0.37344398340248963,0.6666666666666666,1,1.0,0.36363636363636365,0.13333333333333333
2361,0.7178423236514523,1.0,1,1.0,0.2727272727272727,0.16666666666666666
5868,0.8589211618257261,0.6666666666666666,1,1.0,0.0,0.5666666666666667
2357,0.35684647302904565,0.0,1,1.0,0.0,0.7666666666666667
2350,0.0,0.6666666666666666,1,0.0,0.7272727272727273,0.7333333333333333
5876,0.12863070539419086,0.3333333333333333,1,1.0,0.2727272727272727,0.9666666666666667
5877,0.45643153526970953,0.3333333333333333,1,1.0,0.0,0.23333333333333334
2345,0.34439834024896265,0.8888888888888888,1,1.0,0.18181818181818182,0.7
5880,0.27385892116182575,0.3333333333333333,1,1.0,0.36363636363636365,0.5
5894,0.7634854771784232,0.8888888888888888,1,1.0,0.18181818181818182,0.5666666666666667
2329,0.14522821576763487,0.7777777777777778,1,1.0,0.36363636363636365,0.1
2414,0.14522821576763487,0.6666666666666666,1,1.0,0.09090909090909091,0.03333333333333333
5820,0.27385892116182575,0.6666666666666666,1,1.0,0.2727272727272727,0.2
2419,0.14522821576763487,0.3333333333333333,1,1.0,0.2727272727272727,0.26666666666666666
5782,0.34439834024896265,0.7777777777777778,1,1.0,0.36363636363636365,0.03333333333333333
2498,0.7178423236514523,1.0,1,1.0,0.18181818181818182,0.7333333333333333
2497,0.7095435684647303,0.6666666666666666,1,1.0,0.18181818181818182,0.5
2494,0.14937759336099585,0.6666666666666666,1,1.0,0.2727272727272727,0.1
5759,0.0995850622406639,0.8888888888888888,1,0.0,0.6363636363636364,0.5333333333333333
2482,0.7178423236514523,0.6666666666666666,1,1.0,0.18181818181818182,0.8666666666666667
5764,0.7178423236514523,1.0,1,1.0,0.09090909090909091,0.03333333333333333
2476,0.9336099585062241,1.0,1,1.0,0.18181818181818182,0.9
2470,0.5477178423236515,0.8888888888888888,1,1.0,0.0,0.8333333333333334
5783,0.7178423236514523,1.0,1,1.0,0.09090909090909091,0.06666666666666667
2422,0.27385892116182575,0.3333333333333333,1,1.0,0.0,0.2
5787,0.6846473029045643,0.3333333333333333,1,1.0,0.09090909090909091,0.0
2453,0.8174273858921162,0.3333333333333333,1,1.0,0.36363636363636365,0.3
5790,0.5477178423236515,0.8888888888888888,1,0.0,0.9090909090909091,0.3
5803,0.7178423236514523,1.0,1,1.0,0.0,0.5666666666666667
2438,0.5477178423236515,0.8888888888888888,1,1.0,0.18181818181818182,0.36666666666666664
5816,0.8547717842323651,0.0,1,1.0,0.18181818181818182,0.6333333333333333
2424,0.7178423236514523,0.0,1,1.0,0.36363636363636365,0.3
2423,0.7178423236514523,0.6666666666666666,1,1.0,0.2727272727272727,0.3
2327,0.5062240663900415,0.8888888888888888,1,0.0,0.6363636363636364,0.7666666666666667
2321,0.27385892116182575,0.6666666666666666,1,0.0,0.9090909090909091,0.23333333333333334
5902,0.14522821576763487,0.6666666666666666,1,1.0,0.36363636363636365,0.6666666666666666
2149,0.26141078838174275,0.6666666666666666,1,0.0,0.6363636363636364,0.0
6015,0.7178423236514523,0.3333333333333333,1,1.0,0.2727272727272727,0.4
6024,0.14522821576763487,0.3333333333333333,1,1.0,0.0,0.23333333333333334
6026,0.27385892116182575,1.0,1,1.0,0.0,0.8
6028,0.27385892116182575,0.6666666666666666,1,1.0,0.36363636363636365,0.9
6030,0.15352697095435686,0.3333333333333333,1,1.0,0.18181818181818182,0.43333333333333335
2161,0.27385892116182575,0.6666666666666666,1,1.0,0.36363636363636365,0.8
6050,0.27385892116182575,1.0,1,1.0,0.18181818181818182,0.6333333333333333
2150,0.4107883817427386,0.8888888888888888,1,1.0,0.2727272727272727,0.23333333333333334
6060,0.7178423236514523,1.0,1,1.0,0.18181818181818182,0.4
